spectrum_index,spectrum_id,ms_level,rt_seconds,polarity,centroid,tic,base_peak_mz,base_peak_intensity,precursor_selected_ion_mz,isolation_window_target_mz,acquisition_mode_hint
91,sample=1 period=1 cycle=16 experiment=2,2,5.09299999998,positive,True,626983.0,42.034084396437,163265.0,105.15,105.15,DDA
92,sample=1 period=1 cycle=16 experiment=3,2,5.1340000000199995,positive,True,699108.0,166.029298220164,22936.0,202.3,202.3,DDA
93,sample=1 period=1 cycle=16 experiment=4,2,5.175,positive,True,158785.0,46.064608988999,2934.0,283.5,283.5,DDA
94,sample=1 period=1 cycle=16 experiment=5,2,5.21599999998,positive,True,468131.0,98.983606472246,6381.0,394.1,394.1,DDA
95,sample=1 period=1 cycle=16 experiment=6,2,5.257000000020001,positive,True,264822.0,397.189928942512,2739.0,637.4,637.4,DDA
96,sample=1 period=1 cycle=17 experiment=1,1,5.35300000002,positive,True,780783.0,68.010762625452,19643.0,,,
97,sample=1 period=1 cycle=17 experiment=2,2,5.42299999998,positive,True,670812.0,42.034084396437,142888.0,105.15,105.15,DDA
98,sample=1 period=1 cycle=17 experiment=3,2,5.46400000002,positive,True,616284.0,166.027490175507,9513.0,202.3,202.3,DDA
99,sample=1 period=1 cycle=17 experiment=4,2,5.505,positive,True,133218.0,46.064608988999,2265.0,283.5,283.5,DDA
100,sample=1 period=1 cycle=17 experiment=5,2,5.545999999979999,positive,True,440549.0,381.209701512599,4685.0,394.1,394.1,DDA
101,sample=1 period=1 cycle=17 experiment=6,2,5.58700000002,positive,True,330174.0,556.272885643273,2770.0,637.4,637.4,DDA
102,sample=1 period=1 cycle=18 experiment=1,1,5.68300000002,positive,True,748752.0,68.010762625452,18459.0,,,
103,sample=1 period=1 cycle=18 experiment=2,2,5.75299999998,positive,True,570337.0,42.034084396437,123294.0,105.15,105.15,DDA
104,sample=1 period=1 cycle=18 experiment=3,2,5.7940000000200005,positive,True,619374.0,166.029298220164,11127.0,202.3,202.3,DDA
105,sample=1 period=1 cycle=18 experiment=4,2,5.835,positive,True,133691.0,46.064608988999,2223.0,283.5,283.5,DDA
106,sample=1 period=1 cycle=18 experiment=5,2,5.87599999998,positive,True,459342.0,381.204222170999,6135.0,394.1,394.1,DDA
107,sample=1 period=1 cycle=18 experiment=6,2,5.91700000002,positive,True,522557.0,397.184335933101,6194.0,637.4,637.4,DDA
108,sample=1 period=1 cycle=19 experiment=1,1,6.013000000020001,positive,True,747371.0,68.010762625452,19767.0,,,
109,sample=1 period=1 cycle=19 experiment=2,2,6.082999999979999,positive,True,749756.0,42.034084396437,164336.0,105.15,105.15,DDA
110,sample=1 period=1 cycle=19 experiment=3,2,6.12400000002,positive,True,687361.0,166.029298220164,11792.0,202.3,202.3,DDA
111,sample=1 period=1 cycle=19 experiment=4,2,6.165,positive,True,123867.0,46.065561355056,1504.0,283.5,283.5,DDA
112,sample=1 period=1 cycle=19 experiment=5,2,6.20599999998,positive,True,388356.0,98.983606472246,4193.0,394.1,394.1,DDA
113,sample=1 period=1 cycle=19 experiment=6,2,6.24700000002,positive,True,343884.0,397.189928942512,2238.0,637.4,637.4,DDA
